Windows_10_Versions,Windows_10_Build,KB_Number,Release_Date
Windows 10 version 22H2-10.0.19045.3208,19045.3208,KB5028166,11th July 2023
Windows 10 version 21H2-10.0.19044.3208,19044.3208,KB5028166,11th July 2023
Windows 10 version 22H2-10.0.19045.3086,19045.3086,KB5027215,13th June 2023
Windows 10 version 21H2-10.0.19044.3086,19044.3086,KB5027215,13th June 2023
Windows 10 version 22H2-10.0.19045.2965,19045.2965,KB5026361,9th May 2023
Windows 10 version 21H2-10.0.19044.2965,19044.2846,KB5026361,9th May 2023
Windows 10 version 20H2-10.0.19042.2965,19042.2846,KB5026361,9th May 2023
Windows 10 version 22H2-10.0.19045.2846,19043.2846,KB5025221,11th April 2023
Windows 10 version 21H2-10.0.19044.2846,19043.2846,KB5025221,11th April 2023
Windows 10 version 20H2-10.0.19042.2846,19042.2846,KB5025221,11th April 2023
Windows 10 version 22H2-10.0.19045.2728,19045.2728,KB5023696,14th March 2023
Windows 10 version 21H2-10.0.19044.2728,19044.2728,KB5023696,14th March 2023
Windows 10 version 21H1-10.0.19043.2728,19043.2728,KB5023696,14th March 2023
Windows 10 version 22H2-10.0.19045.2604,19045.2604,KB5022834,14th Feb 2023
Windows 10 version 21H2-10.0.19044.2604,19044.2604,KB5022834 ,14th Feb 2023
Windows 10 version 21H1-10.0.19043.2604,19043.2604,KB5022834,14th Feb 2023
Windows 10 version 22H2-10.0.19045.2486,19045.2486,KB5022282,10th Jan 2023
Windows 10 version 21H2-10.0.19044.2486,19044.2486,KB5022282,10th Jan 2023
Windows 10 version 21H1-10.0.19043.2486,19043.2486,KB5022282,10th Jan 2023
Windows 10 version 22H2-10.0.19045.2364,19045.2364,KB5021233,13th Dec 2022
Windows 10 version 21H2-10.0.19044.2364,19044.2364,KB5021233,13th Dec 2022
Windows 10 version 21H1-10.0.19043.2364,19043.2364,KB5021233,13th Dec 2022
Windows 10 version 22H2 -10.0.19045.2251,19045.2251,KB5019959,8th Nov 2022
Windows 10 version 21H2-10.0.19044.2251,19044.2251,KB5019959,8th Nov 2022
Windows 10 version 21H1-10.0.19043.2251,19043.2251,KB5019959,8th Nov 2022
Windows 10 version 20H2-10.0.19042.2251,19042.2251,KB5019959,8th Nov 2022
Windows 10 version 21H2-10.0.19044.1766,19044.1766,KB5014699,11th Oct 2022
Windows 10 version 21H1-10.0.19043.1766,19043.1766,KB5014699,11th Oct 2022
Windows 10 version 20H2-10.0.19042.1766,19042.1766,KB5014699,11th Oct 2022
Windows 10 22H2 -10.0.19045.1766,19045.1766,KB5014699,11th Oct 2022
Windows 10 21H2 – 10.0.19044.2075,19044.2075,KB5017380,13th September 2022
Windows 10 21H1 – 10.0.19043.2075,19043.2075,KB5017380,13th September 2022
Windows 10 20H2 – 10.0.19042.2075,19042.2075,KB5017380,13th September 2022
Windows 10 21H2 – 10.0.19044.1889,19044.1889,KB5016616,9th August 2022
Windows 10 21H1 – 10.0.19043.1889,19043.1889,KB5016616,9th August 2022
Windows 10 20H2 – 10.0.19042.1889,19042.1889,KB5016616,9th August 2022
Windows 10 21H2 – 10.0.19044.1826,19044.1826,KB5015807,12th July 2022
Windows 10 21H1 – 10.0.19043.1826,19043.1826,KB5015807,12th July 2022
Windows 10 20H2 – 10.0.19042.1826,19042.2075,KB5015807,12th July 2022
Windows 10 21H2 – 10.0.19044.1766,19044.1766,KB5014699,14th June 2022
Windows 10 21H1 – 10.0.19043.1766,19043.1766,KB5014699,14th June 2022
Windows 10 20H2 – 10.0.19042.1766,19042.1766,KB5014699,14th June 2022
Windows 10 21H2 – 10.0.19044.1706,19044.1706,KB5013942,10th May 2022
Windows 10 21H1 – 10.0.19043.1706,19043.1706,KB5013942,10th May 2022
Windows 10 21H2 – 10.0.19044.1645,19044.1645,KB5012599,12th April 2022
Windows 10 21H1 – 10.0.19043.1645,19043.1645,KB5012599,12th April 2022
Windows 10 20H2 – 10.0.19042.1645,19042.1645,KB5012599,12th April 2022
Windows 10 21H2 – 10.0.19044.1586,19044.1586,KB5011487,8th Mar 2022
Windows 10 21H1 – 10.0.19043.1586,19043.1586,KB5011487,8th Mar 2022
Windows 10 20H2 – 10.0.19042.1586,19042.1586,KB5011487,8th Mar 2022
Windows 10 21H2 – 10.0.19044.1526,19044.1526,KB5010342,8th Feb 2022
Windows 10 21H1 – 10.0.19043.1526,19043.1526,KB5010342,8th Feb 2022
Windows 10 20H2 – 10.0.19042.1526,19042.1526,KB5010342,8th Feb 2022
Windows 10 21H2 – 10.0.19044.1466,19044.1466,KB5009543,11th Jan 2022
Windows 10 21H1 – 10.0.19043.1466,19043.1466,KB5009543,11th Jan 2022
Windows 10 20H2 – 10.0.19042.1466,19042.1466,KB5009543,11th Jan 2022
