Release_date,Build_number,Knowledge_base
2023-07-11,19045.3208,KB5028166
2023-07-11,19044.3208,KB5028166
2023-07-11,17763.4645,KB5028168
2023-07-11,14393.6085,KB5028169
2023-07-11,10240.20048,KB5028186
2023-06-27,19045.3155 (Preview),KB5027293
2023-06-23,19045.3154 (Preview),KB5027293
2023-06-13,19045.3086,KB5027215
2023-06-13,19044.3086,KB5027215
2023-06-13,17763.4499,KB5027222
2023-06-13,14393.5989,KB5027219
2023-06-13,10240.19984,KB5027230 
2023-05-23,19045.3031,KB5026435
2023-05-11,19045.3030,KB5026435
2023-05-09,19045.2965,KB5026361
2023-05-09,19044.2965,KB5026361
2023-05-09,19042.2965,KB5026361
2023-05-09,17763.4377,KB5026362
2023-05-09,14393.5921,KB5026363
2023-05-09,10240.19926,KB5026382
2023-04-25,19045.2913 (Preview),KB5025297
2023-04-13,19045.2908 (Preview),KB5025297
2023-04-13,19044.2908 (Preview),KB5025297
2023-04-13,19042.2908 (Preview) ,KB5025297
2023-04-11,19045.2846,KB5025221
2023-04-11,19044.2846,KB5025221
2023-04-11,19042.2846,KB5025221
2023-04-11,17763.4252,KB5025229
2023-04-11,14393.5850,KB5025228
2023-04-11,10240.19869,KB5025234
2023-03-17,19045.2787 (Preview),KB5023773
2023-03-14,19045.2728,KB5023696
2023-03-14,19044.2728,KB5023696
2023-03-14,19042.2728,KB5023696
2023-03-14,17763.4113,KB5023702
2023-03-14,14393.5786,KB5023697
2023-03-14,10240.19805,KB5023713
2023-02-21,19045.2673 (Preview),KB5022906
2023-02-21,19044.2673 (Preview),KB5022906
2023-02-21,19042.2673 (Preview),KB5022906
2023-02-17,19045.2670 (Preview),KB5022906
2023-02-14,19045.2604,KB5022834
2023-02-14,19044.2604,KB5022834
2023-02-14,19042.2604,KB5022834
2023-02-14,17763.4010,KB5022840
2023-02-14,14393.5717,KB5022838
2023-02-14,10240.19747,KB5022858
2023-01-19,19045.2546 (Preview),KB5019275
2023-01-19,19044.2546 (Preview),KB5019275
2023-01-19,19042.2546 (Preview),KB5019275
2023-01-10,19045.2486,KB5022282
2023-01-10,19044.2486,KB5022282
2023-01-10,19043.22486,KB5022282
2023-01-10,19042.2486,KB5022282
2023-01-10,17763.3887,KB5022286
2023-01-10,14393.5648,KB5022289
2023-01-10,10240.19685,KB5022297
2022-12-13,19045.2364,KB5021233
2022-12-13,19044.2364,KB5021233
2022-12-13,19043.2364,KB5021233
2022-12-13,19042.2364,KB5021233
2022-12-13,17763.3770,KB5021237
2022-12-13,14393.5582,KB5021235
2022-12-13,10240.19624,KB5021243
2022-11-18,17763.3653 (Out-of-band),KB5021655
2022-11-18,14393.5502 (Out-of-band),KB5021654
2022-11-15,19045.2311 (Preview),KB5020030
2022-11-15,19044.2311 (Preview),KB5020030
2022-11-15,19043.2311 (Preview),KB5020030
2022-11-15,19042.2311 (Preview),KB5020030
2022-11-10,19045.2301 (Preview),KB5020030
2022-11-08,19045.2251,KB5019959
2022-11-08,19044.2251,KB5019959
2022-11-08,19043.2251,KB5019959
2022-11-08,19042.2251,KB5019959
2022-11-08,17763.3650,KB5019966
2022-11-08,14393.5501,KB5019964
2022-11-08,10240.19567,KB5019970
2022-10-25,19044.2193 (Preview),KB5018482
2022-10-25,19043.2193 (Preview),KB5018482
2022-10-25,19042.2193 (Preview),KB5018482
2022-10-18,19045.1865,KB5015878
2022-10-17,19044.2132 (Out-of-band),KB5020435
2022-10-17,19043.2132 (Out-of-band),KB5020435
2022-10-17,19042.2132 (Out-of-band),KB5020435
2022-10-11,19044.2130,KB5018410
2022-10-11,19043.2130,KB5018410
2022-10-11,19042.2130,KB5018410
2022-10-11,17763.3532,KB5018419
2022-10-11,14393.5427,KB5018411
2022-10-11,10240.19507,KB5018425
2022-09-20,17763.3469 (Preview),KB5017379
2022-09-19,19044.2075 (Preview),KB5017380
2022-09-13,19044.2006,KB5017308
2022-09-13,19043.2006,KB5017308
2022-09-13,19042.2006,KB5017308
2022-09-13,17763.3406,KB5017315
2022-09-13,14393.5356,KB5017305
2022-09-13,10240.19444,KB5017327
2022-08-23,17763.3346 (Preview),KB5016690
2022-08-15,19044.1947 (Preview),KB5016688
2022-08-09,19044.1889,KB5016616
2022-08-09,19043.1889,KB5016616
2022-08-09,19042.1826,KB5016616
2022-08-09,17763.3287,KB5016623
2022-08-09,14393.5291,KB5016622
2022-08-09,10240.19387,KB5016639
2022-07-26,19044.1865 (Preview),KB5015878
2022-07-21,17763.3232 (Preview),KB5015880
2022-07-19,19044.1862 (Preview),KB5015878
2022-07-12,19044.1826,KB5015807
2022-07-12,19043.1826,KB5015807
2022-07-12,19042.1826,KB5015807
2022-07-12,17763.3165,KB5015811
2022-07-12,14393.5246,KB5015808
2022-07-12,10240.1936,KB5015832
2022-06-27,19044.1806 (Release Preview),KB5014666
2022-06-21,19044.1767 (Out-of-band),KB5016139
2022-06-21,19043.1767 (Out-of-band),KB5016139
2022-06-21,19042.1767 (Out-of-band),KB5016139
2022-06-14,19044.1766,KB5014699
2022-06-14,19043.1766,KB5014699
2022-06-14,19042.1766,KB5014699
2022-06-14,17763.3046,KB5014692
2022-06-14,14393.5192,KB5014702
2022-06-14,10240.19325,KB5014710
2022-06-02,19044.1741 (Release Preview),KB5014023
2022-05-23,19044.1739 (Release Preview),KB5014023
2022-05-19,19044.1708,KB5015020
2022-05-19,19043.1708,KB5015020
2022-05-19,19042.1708,KB5015020
2022-05-19,17763.2931,KB5015018
2022-05-19,14393.5127,KB5015019
2022-05-10,19044.1706,KB5013942
2022-05-10,19043.1706,KB5013942
2022-05-10,19042.1706,KB5013942
2022-05-10,18363.2274,KB5013945
2022-05-10,17763.2928,KB5013941
2022-05-10,14393.5125,KB5013952
2022-05-10,10240.19297,KB5013963
2022-04-26,19044.1682 (Preview),KB5011831
2022-04-14,19044.1679 (Release Preview),KB5011831
2022-04-12,19044.1645,KB5012599
2022-04-12,19043.1645,KB5012599
2022-04-12,19042.1645,KB5012599
2022-04-12,18363.2212,KB5012591
2022-04-12,17763.2803,KB5012647
2022-04-12,14393.5066,KB5012596
2022-03-22,19044.1620 (Preview),KB5011543
2022-03-22,19043.162,KB5011543
2022-03-22,19042.162,KB5011543
2022-03-22,17763.2746 (Preview),KB5011551
2022-03-14,19044.1618 (Release Preview),KB5011543
2022-03-08,19044.1586,KB5011487
2022-03-08,19043.1586,KB5011487
2022-03-08,19042.1586,KB5011487
2022-03-08,18363.2158,KB5011485
2022-03-08,17763.2686,KB5011503
2022-03-08,14393.5006,KB5011495
2022-03-08,10240.19235,KB5011491
2022-02-15,19044.1566 (Preview),KB5010415
2022-02-15,19043.1566 (Preview),KB5010415
2022-02-15,19042.1566 (Preview),KB5010415
2022-02-08,19044.1526,KB5010342
2022-02-08,19043.1526,KB5010342
2022-02-08,19042.1526,KB5010342
2022-02-08,18363.2094,KB5010345
2022-02-08,17763.2565,KB5010351
2022-02-08,14393.4946,KB5010359
2022-02-08,10240.19204,KB5010358
2022-01-25,19044.1503 (Preview),KB5009596
2022-01-25,19043.1503 (Preview),KB5009596
2022-01-25,19042.1503 (Preview),KB5009596
2022-01-17,19044.1469 (Out-of-band),KB5010796
2022-01-17,19043.1469 (Out-of-band),KB5010796
2022-01-17,19042.1469 (Out-of-band),KB5010796
